# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-M" "-g" "gene_id" "-a" "./genomic.gtf" "-o" "counts3.txt" "37D1_control1_sorted.bam" "37D2_control2_sorted.bam" "37D3_control3_sorted.bam" "46D1_elevtemp_sorted.bam" "46D2_elevtemp2_sorted.bam" "46D3_elevtemp3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	37D1_control1_sorted.bam	37D2_control2_sorted.bam	37D3_control3_sorted.bam	46D1_elevtemp_sorted.bam	46D2_elevtemp2_sorted.bam	46D3_elevtemp3_sorted.bam
PA1507	NC_002516.2	1636329	1637696	-	1368	0	0	0	0	0	0
PA1508	NC_002516.2	1638379	1638639	-	261	1	0	1	2	0	0
PA1509	NC_002516.2	1638652	1639794	-	1143	68	36	60	12	23	32
PA1510	NC_002516.2	1639791	1641500	-	1710	20	22	27	8	15	14
PA1511	NC_002516.2	1641497	1644025	-	2529	10	6	2	8	4	0
PA1512	NC_002516.2	1644207	1644725	-	519	14	6	4	2	0	2
PA1513	NC_002516.2	1645211	1646488	-	1278	1	4	2	8	2	10
PA1514	NC_002516.2	1646537	1647046	-	510	10	4	6	8	8	21
PA1515	NC_002516.2	1647101	1648099	-	999	1	0	0	6	4	4
PA1516	NC_002516.2	1648117	1648632	-	516	0	0	0	0	0	0
PA1517	NC_002516.2	1648629	1649555	-	927	12	4	2	2	13	5
PA1518	NC_002516.2	1649928	1650308	+	381	6	0	4	0	4	0
PA1519	NC_002516.2	1650549	1651898	-	1350	0	0	0	0	4	0
PA1520	NC_002516.2	1652273	1653052	+	780	6	4	6	0	4	8
PA1521	NC_002516.2	1653106	1654410	-	1305	0	0	0	0	0	0
PA1522	NC_002516.2	1654480	1655319	-	840	2	0	0	0	0	2
PA1523	NC_002516.2	1655346	1657745	-	2400	4	2	3	8	2	6
PA1524	NC_002516.2	1657738	1659192	-	1455	0	4	2	4	2	6
PA1525	NC_002516.2	1659413	1660546	-	1134	2	0	2	2	2	0
PA1526	NC_002516.2	1660727	1661386	+	660	4	2	0	0	5	4
PA1527	NC_002516.2	1661412	1664900	+	3489	38	28	24	27	9	41
PA1528	NC_002516.2	1665065	1665934	+	870	74	38	40	54	72	181
PA1529	NC_002516.2	1666025	1668409	+	2385	0	0	0	0	6	2
PA1530	NC_002516.2	1668455	1668832	+	378	2	0	0	0	0	0
PA1530.1	NC_002516.2	1668840	1669799	+	960	3	0	0	2	0	2
PA1531	NC_002516.2	1669086	1669952	-	867	2	2	4	6	4	8
PA1532	NC_002516.2	1669989	1672034	+	2046	16	15	9	5	9	25
PA1533	NC_002516.2	1672080	1672406	+	327	244	114	84	40	57	45
PA1534	NC_002516.2	1672485	1673081	+	597	10	0	2	0	0	2
PA1535	NC_002516.2	1673204	1674352	+	1149	2	0	0	0	5	0
PA1536	NC_002516.2	1674365	1674904	-	540	0	0	2	0	0	0
PA1537	NC_002516.2	1674978	1675865	-	888	0	0	0	2	0	4
PA1538	NC_002516.2	1675862	1677445	-	1584	0	0	0	6	5	2
PA1539	NC_002516.2	1677559	1678407	+	849	2	0	2	0	4	0
PA1540	NC_002516.2	1678261	1678590	-	330	0	0	0	0	0	0
PA1541	NC_002516.2	1678584	1678952	-	369	0	0	0	0	2	4
PA1542	NC_002516.2	1679361	1680197	-	837	4	0	0	2	0	4
PA1543	NC_002516.2	1680437	1680985	-	549	2	0	0	0	0	0
PA1544	NC_002516.2	1681071	1681805	-	735	20	14	14	2	14	12
PA1545	NC_002516.2	1682051	1682518	+	468	86	82	65	84	62	113
PA1546	NC_002516.2	1682567	1683949	-	1383	46	24	16	16	29	38
PA1547	NC_002516.2	1684077	1684760	-	684	0	0	0	0	0	0
PA1548	NC_002516.2	1684753	1684962	-	210	0	0	0	0	0	0
PA1549	NC_002516.2	1684941	1687376	-	2436	12	6	0	3	4	8
PA1550	NC_002516.2	1687373	1687912	-	540	29	11	22	9	6	10
PA1551	NC_002516.2	1687924	1689339	-	1416	33	24	30	32	28	31
PA1552	NC_002516.2	1689557	1690513	-	957	22	8	12	2	4	24
PA1552.1	NC_002516.2	1690510	1690695	-	186	0	0	0	0	0	2
PA1553	NC_002516.2	1690701	1691312	-	612	4	3	3	6	0	0
PA1554	NC_002516.2	1691327	1692754	-	1428	16	6	16	5	9	16
PA1555	NC_002516.2	1693119	1694045	-	927	48	30	23	11	12	20
PA1555.1	NC_002516.2	1694042	1694227	-	186	10	5	1	4	0	4
PA1556	NC_002516.2	1694233	1694841	-	609	20	14	14	0	5	8
PA1557	NC_002516.2	1694852	1696279	-	1428	62	41	29	18	14	21
PA1558	NC_002516.2	1696467	1697099	+	633	0	0	0	0	0	0
PA1559	NC_002516.2	1697188	1698344	+	1157	0	2	0	2	2	2
PA1561	NC_002516.2	1698382	1699947	-	1566	90	40	38	48	54	138
PA1562	NC_002516.2	1700320	1703052	-	2733	27	17	25	52	30	71
PA1563	NC_002516.2	1703379	1704437	+	1059	0	0	2	2	3	0
PA1564	NC_002516.2	1704522	1704761	+	240	0	0	0	0	0	2
PA1565	NC_002516.2	1704793	1706103	-	1311	2	0	0	0	2	0
PA1566	NC_002516.2	1706172	1707536	-	1365	0	0	0	0	2	0
PA1567	NC_002516.2	1708004	1709401	-	1398	0	2	4	4	4	2
PA1568	NC_002516.2	1709412	1709765	-	354	0	0	0	2	0	0
PA1569	NC_002516.2	1709821	1711191	-	1371	0	2	0	0	0	0
PA1570	NC_002516.2	1711569	1712450	+	882	2	0	0	0	4	4
PA1571	NC_002516.2	1712519	1712698	-	180	4	7	4	5	6	9
PA1572	NC_002516.2	1712908	1714053	+	1146	6	2	8	12	18	17
PA1573	NC_002516.2	1714064	1714660	+	597	0	0	0	2	2	0
PA1574	NC_002516.2	1714778	1715059	-	282	0	0	2	0	0	0
PA1575	NC_002516.2	1715154	1715705	-	552	38	16	12	6	8	14
PA1576	NC_002516.2	1715809	1716675	+	867	4	0	0	0	0	2
PA1577	NC_002516.2	1716682	1717023	-	342	0	0	0	0	0	0
PA1578	NC_002516.2	1717139	1717894	+	756	0	0	0	0	0	1
PA1578a	NC_002516.2	1717998	1718252	+	255	0	2	0	2	0	2
PA1579	NC_002516.2	1718386	1718994	+	609	16	16	10	4	14	12
PA1580	NC_002516.2	1719109	1720395	-	1287	32	14	18	14	24	22
PA1581	NC_002516.2	1720744	1721130	+	387	237	146	123	140	224	368
PA1582	NC_002516.2	1721124	1721492	+	369	3	2	3	3	6	1
PA1583	NC_002516.2	1721496	1723268	+	1773	64	40	30	42	47	117
PA1584	NC_002516.2	1723280	1723987	+	708	471	340	307	189	211	239
PA1585	NC_002516.2	1724244	1727075	+	2832	178	95	79	59	96	128
PA1586	NC_002516.2	1727118	1728347	+	1230	61	65	38	39	45	69
PA1587	NC_002516.2	1728416	1729852	+	1437	14	7	13	7	9	24
PA1588	NC_002516.2	1730181	1731347	+	1167	94	76	92	67	77	124
PA1589	NC_002516.2	1731347	1732234	+	888	36	19	19	4	14	36
PA1590	NC_002516.2	1732545	1733858	+	1314	2	0	0	0	0	2
PA1591	NC_002516.2	1734004	1734768	+	765	0	0	0	0	0	0
PA1592	NC_002516.2	1734827	1735063	-	237	250	196	116	104	92	124
PA1593	NC_002516.2	1735236	1735709	+	474	0	0	0	1	0	0
PA1594	NC_002516.2	1735706	1736152	+	447	0	0	0	0	0	0
PA1595	NC_002516.2	1736189	1737418	+	1230	0	0	0	0	0	0
PA1596	NC_002516.2	1737536	1739440	+	1905	58	43	22	441	244	324
PA1597	NC_002516.2	1739508	1740233	+	726	0	0	0	0	1	2
PA1598	NC_002516.2	1740244	1741065	-	822	0	0	0	0	0	0
PA1599	NC_002516.2	1741146	1741928	+	783	0	0	0	2	0	2
PA1600	NC_002516.2	1741939	1743240	-	1302	0	0	0	2	2	2
PA1601	NC_002516.2	1743290	1745536	-	2247	0	8	4	4	4	11
PA1602	NC_002516.2	1745533	1746024	-	492	0	0	0	0	0	3
PA1603	NC_002516.2	1746231	1746653	-	423	0	0	0	0	0	0
PA1604	NC_002516.2	1746692	1747597	-	906	2	1	2	2	9	2
PA1605	NC_002516.2	1747596	1748630	+	1035	6	8	2	14	10	22
PA1606	NC_002516.2	1748699	1749175	+	477	0	0	0	0	0	0
PA1607	NC_002516.2	1749349	1749789	-	441	0	0	0	0	0	0
PA1608	NC_002516.2	1749895	1751520	-	1626	8	4	6	4	4	4
PA1609	NC_002516.2	1751674	1752891	-	1218	13	9	9	14	6	22
PA1610	NC_002516.2	1752903	1753418	-	516	0	0	2	2	3	4
PA1611	NC_002516.2	1753607	1755562	-	1956	6	4	4	0	4	6
PA1612	NC_002516.2	1755559	1756317	-	759	0	0	0	0	0	0
PA1613	NC_002516.2	1756489	1758597	-	2109	0	2	0	2	2	4
PA1614	NC_002516.2	1758748	1759770	+	1023	14	8	10	16	12	16
PA1615	NC_002516.2	1759784	1760125	+	342	2	3	0	0	4	1
PA1616	NC_002516.2	1760122	1760586	+	465	0	0	0	0	0	2
PA1617	NC_002516.2	1760713	1762380	+	1668	0	0	0	0	0	0
PA1618	NC_002516.2	1762433	1762870	+	438	0	0	0	0	0	2
PA1619	NC_002516.2	1762928	1763752	+	825	0	0	0	0	0	2
PA1620	NC_002516.2	1763793	1764434	+	642	0	0	0	0	0	0
PA1621	NC_002516.2	1764536	1765348	+	813	2	0	0	0	1	0
PA1622	NC_002516.2	1765345	1766205	+	861	2	0	0	0	0	0
PA1623	NC_002516.2	1766285	1766947	+	663	6	2	2	0	3	2
PA1624	NC_002516.2	1766956	1767762	+	807	2	0	0	2	0	0
PA1625	NC_002516.2	1767928	1768995	+	1068	0	2	0	0	6	6
PA1626	NC_002516.2	1769047	1770321	-	1275	0	0	0	0	0	2
PA1627	NC_002516.2	1770337	1770984	-	648	0	0	0	0	0	0
PA1628	NC_002516.2	1771122	1772651	-	1530	0	0	0	0	0	0
PA1629	NC_002516.2	1772655	1773440	-	786	0	0	0	0	0	0
PA1630	NC_002516.2	1773682	1774548	+	867	8	4	4	5	2	10
PA1631	NC_002516.2	1774603	1775757	+	1155	0	0	0	0	0	0
PA1632	NC_002516.2	1775849	1776034	+	186	0	0	0	0	0	0
PA1633	NC_002516.2	1776045	1777739	+	1695	0	0	0	2	0	0
PA1634	NC_002516.2	1777751	1779823	+	2073	0	0	0	2	0	0
PA1635	NC_002516.2	1779877	1780428	+	552	0	0	0	0	0	0
PA1636	NC_002516.2	1780536	1783193	+	2658	0	0	0	2	0	0
PA1637	NC_002516.2	1783294	1783986	+	693	0	0	0	2	0	2
PA1638	NC_002516.2	1784108	1785016	+	909	2	0	0	0	0	0
PA1639	NC_002516.2	1785127	1785732	+	606	0	2	0	0	0	0
PA1640	NC_002516.2	1785736	1786773	-	1038	2	2	0	0	0	2
PA1641	NC_002516.2	1786888	1787166	+	279	0	0	0	0	0	2
PA1642	NC_002516.2	1787250	1788284	+	1035	2	0	0	0	0	0
PA1643	NC_002516.2	1788284	1789393	+	1110	2	0	4	4	0	0
PA1643a	NC_002516.2	1789372	1789719	-	348	2	0	0	0	0	0
PA1644	NC_002516.2	1789857	1790465	+	609	0	0	0	2	0	0
PA1645	NC_002516.2	1790472	1790879	-	408	0	0	0	0	0	0
PA1646	NC_002516.2	1791080	1793038	+	1959	0	0	5	0	0	0
PA1647	NC_002516.2	1793019	1794740	-	1722	0	0	0	2	0	2
PA1648	NC_002516.2	1794883	1795887	-	1005	0	0	0	0	0	0
PA1649	NC_002516.2	1796138	1796899	+	762	0	0	2	0	0	0
PA1650	NC_002516.2	1797058	1797951	+	894	0	6	0	2	0	4
PA1651	NC_002516.2	1797958	1799154	-	1197	0	0	4	4	2	0
PA1652	NC_002516.2	1799385	1800020	+	636	0	0	0	0	0	0
PA1653	NC_002516.2	1800071	1800547	-	477	0	0	0	0	0	0
PA1654	NC_002516.2	1800629	1801795	+	1167	4	2	1	2	8	6
PA1655	NC_002516.2	1801851	1802453	+	603	10	4	12	10	7	22
PA1656	NC_002516.2	1803626	1805182	+	1557	100	75	67	6	14	20
PA1657	NC_002516.2	1805218	1805724	+	507	60	68	46	8	1	14
PA1658	NC_002516.2	1805753	1807228	+	1476	191	105	66	8	0	7
PA1659	NC_002516.2	1807241	1807648	+	408	5	1	2	0	0	2
PA1660	NC_002516.2	1808193	1809773	+	1581	28	8	16	0	2	8
PA1661	NC_002516.2	1809737	1810744	+	1008	6	2	1	0	0	0
PA1662	NC_002516.2	1810751	1813384	+	2634	8	6	2	6	0	2
PA1663	NC_002516.2	1813395	1814906	+	1512	2	0	2	0	0	0
PA1664	NC_002516.2	1814995	1815135	+	141	0	0	0	0	0	0
PA1665	NC_002516.2	1815153	1816346	+	1194	0	0	0	0	0	0
PA1666	NC_002516.2	1816352	1816858	+	507	10	0	2	0	1	0
PA1667	NC_002516.2	1816855	1818186	+	1332	6	1	1	2	0	0
PA1668	NC_002516.2	1818189	1819058	+	870	0	4	2	0	0	0
PA1669	NC_002516.2	1819074	1822601	+	3528	9	2	6	0	0	0
PA1670	NC_002516.2	1822601	1823329	+	729	0	0	0	0	0	0
PA1671	NC_002516.2	1823326	1824315	+	990	2	0	0	0	0	0
PA1672	NC_002516.2	1824343	1824723	-	381	1	2	0	2	0	2
PA1673	NC_002516.2	1824969	1825430	+	462	122	80	78	56	76	80
PA1674	NC_002516.2	1825495	1826040	-	546	4	0	0	0	4	2
PA1675	NC_002516.2	1826118	1826675	-	558	0	0	0	0	2	4
PA1676	NC_002516.2	1826732	1827052	-	321	0	0	0	0	0	0
PA1677	NC_002516.2	1827225	1827821	-	597	15	8	5	13	9	8
PA1678	NC_002516.2	1827992	1828906	+	915	0	0	2	0	0	2
PA1679	NC_002516.2	1828931	1829710	-	780	0	2	2	2	1	0
PA1680	NC_002516.2	1829788	1830771	-	984	3	0	0	2	4	0
PA1681	NC_002516.2	1830879	1831970	+	1092	4	0	0	2	2	2
PA1682	NC_002516.2	1832014	1833165	+	1152	0	0	0	2	3	0
PA1683	NC_002516.2	1833162	1833779	+	618	0	0	0	2	2	2
PA1684	NC_002516.2	1833776	1834321	+	546	2	0	0	1	0	2
PA1685	NC_002516.2	1834393	1835142	+	750	0	0	0	1	0	0
PA1686	NC_002516.2	1835325	1836218	-	894	0	0	0	0	0	2
PA1687	NC_002516.2	1836367	1837227	+	861	6	0	2	0	0	2
PA1688	NC_002516.2	1837388	1838257	+	870	3	5	7	17	11	5
PA1689	NC_002516.2	1838260	1840362	+	2103	4	6	2	2	4	6
PA1690	NC_002516.2	1840468	1841517	-	1050	0	0	0	0	0	0
PA1691	NC_002516.2	1841514	1842302	-	789	0	0	0	0	0	0
PA1692	NC_002516.2	1842299	1842565	-	267	0	0	0	0	0	2
PA1693	NC_002516.2	1842568	1843221	-	654	5	2	3	9	2	6
PA1694	NC_002516.2	1843218	1844147	-	930	0	0	0	2	0	0
PA1695	NC_002516.2	1844144	1845253	-	1110	0	0	0	2	0	0
PA1696	NC_002516.2	1845241	1845717	-	477	0	0	0	0	0	0
PA1697	NC_002516.2	1845714	1847036	-	1323	0	0	0	0	0	2
PA1698	NC_002516.2	1847227	1848093	+	867	0	0	0	0	0	0
PA1699	NC_002516.2	1848074	1848352	+	279	0	0	0	0	0	0
PA1700	NC_002516.2	1848339	1848710	+	372	0	0	0	0	0	0
PA1701	NC_002516.2	1848707	1849072	+	366	0	0	0	0	0	0
PA1702	NC_002516.2	1849077	1849406	+	330	0	0	0	0	0	0
PA1703	NC_002516.2	1849403	1851523	+	2121	2	0	4	0	6	6
PA1704	NC_002516.2	1851520	1851954	+	435	0	0	0	0	0	0
PA1705	NC_002516.2	1851982	1852278	+	297	0	1	0	2	2	2
PA1706	NC_002516.2	1852288	1853172	+	885	2	2	4	0	6	6
PA1707	NC_002516.2	1853181	1853684	+	504	18	12	2	6	6	10
PA1708	NC_002516.2	1853665	1854837	+	1173	50	35	35	26	31	62
PA1709	NC_002516.2	1854849	1855736	+	888	4	0	2	3	3	0
PA1710	NC_002516.2	1855862	1856299	+	438	0	0	0	0	1	2
PA1711	NC_002516.2	1856308	1856553	+	246	0	0	0	0	0	0
PA1712	NC_002516.2	1856562	1856975	+	414	2	0	2	1	4	6
PA1713	NC_002516.2	1857273	1858109	+	837	35	26	25	26	24	37
PA1714	NC_002516.2	1858207	1859037	+	831	14	10	10	6	8	8
PA1715	NC_002516.2	1859071	1859493	+	423	1	0	0	2	0	0
PA1716	NC_002516.2	1859493	1861295	+	1803	8	0	0	0	3	4
PA1717	NC_002516.2	1861297	1862595	+	1299	2	2	2	0	4	2
PA1718	NC_002516.2	1862558	1862761	+	204	0	0	1	0	0	0
PA1719	NC_002516.2	1862764	1863021	+	258	3	0	1	0	8	10
PA1720	NC_002516.2	1863024	1863371	+	348	0	0	0	0	0	0
PA1721	NC_002516.2	1863368	1863799	+	432	0	0	0	0	0	2
PA1722	NC_002516.2	1863799	1864137	+	339	2	1	0	0	0	0
PA1723	NC_002516.2	1864134	1864880	+	747	2	0	0	0	2	0
PA1724	NC_002516.2	1864889	1865515	+	627	0	0	0	0	0	0
PA1725	NC_002516.2	1865494	1866138	+	645	0	4	4	0	3	4
PA1726	NC_002516.2	1866241	1868535	-	2295	2	2	0	4	0	4
PA1727	NC_002516.2	1868706	1870763	-	2058	2	2	0	0	4	0
PA1728	NC_002516.2	1871116	1871457	+	342	0	0	0	0	0	0
PA1729	NC_002516.2	1871555	1872202	+	648	0	0	2	0	0	0
PA1730	NC_002516.2	1872602	1874014	+	1413	0	2	4	0	2	2
PA1731	NC_002516.2	1874017	1874970	+	954	0	0	0	0	0	0
PA1732	NC_002516.2	1874967	1875767	+	801	0	0	0	4	0	2
PA1733	NC_002516.2	1875849	1876580	+	732	0	0	0	0	0	0
PA1734	NC_002516.2	1876588	1877409	-	822	0	0	0	0	0	2
PA1735	NC_002516.2	1877522	1878409	+	888	12	8	4	2	8	6
PA1736	NC_002516.2	1878980	1880185	+	1206	0	2	2	0	0	1
PA1737	NC_002516.2	1880199	1882343	+	2145	0	2	0	2	0	0
PA1738	NC_002516.2	1882595	1883509	-	915	0	0	0	2	2	0
PA1739	NC_002516.2	1883661	1884632	+	972	0	2	0	2	0	0
PA1740	NC_002516.2	1884655	1885653	+	999	0	0	0	0	0	0
PA1741	NC_002516.2	1885662	1886033	-	372	0	0	0	0	0	0
PA1742	NC_002516.2	1886278	1887000	+	723	20	8	4	22	22	48
PA1743	NC_002516.2	1887058	1887297	-	240	0	0	0	0	0	0
PA1744	NC_002516.2	1887325	1887543	-	219	0	0	0	0	0	0
PA1745	NC_002516.2	1887698	1888186	-	489	0	0	0	0	0	0
PA1746	NC_002516.2	1888407	1888913	+	507	11	11	5	12	9	23
PA1747	NC_002516.2	1888985	1889173	-	189	4	0	0	0	0	2
PA1748	NC_002516.2	1889323	1890012	-	690	0	1	2	2	0	0
PA1749	NC_002516.2	1890196	1890681	+	486	0	0	2	0	2	4
PA1750	NC_002516.2	1890739	1891815	-	1077	48	30	36	44	20	76
PA1751	NC_002516.2	1892133	1892510	+	378	0	0	0	0	0	2
PA1752	NC_002516.2	1892510	1893457	+	948	4	4	2	0	3	8
PA1753	NC_002516.2	1893620	1894117	+	498	2	3	0	0	7	0
PA1754	NC_002516.2	1894249	1895223	+	975	482	297	250	225	242	188
PA1755	NC_002516.2	1895280	1895627	-	348	0	0	0	0	0	0
PA1756	NC_002516.2	1895692	1896495	-	804	2	0	0	0	0	2
PA1757	NC_002516.2	1896630	1897247	+	618	0	0	2	0	0	2
PA1758	NC_002516.2	1897290	1898651	-	1362	0	0	0	2	0	0
PA1759	NC_002516.2	1898816	1901521	+	2706	10	8	2	7	10	5
PA1760	NC_002516.2	1901524	1904247	+	2724	8	6	9	6	0	13
PA1761	NC_002516.2	1904479	1904916	+	438	0	0	4	0	0	1
PA1762	NC_002516.2	1904995	1905756	+	762	0	0	0	1	0	1
PA1763	NC_002516.2	1905797	1906822	+	1026	0	2	0	1	0	2
PA1764	NC_002516.2	1906842	1908440	+	1599	0	0	0	0	2	2
PA1765	NC_002516.2	1908454	1909641	+	1188	2	0	0	2	1	4
PA1766	NC_002516.2	1909698	1910681	-	984	50	28	19	15	25	27
PA1767	NC_002516.2	1910685	1912211	-	1527	12	2	10	5	2	6
PA1768	NC_002516.2	1912217	1912756	-	540	2	2	2	7	3	4
PA1769	NC_002516.2	1913047	1913871	-	825	34	14	12	4	12	30
PA1770	NC_002516.2	1914037	1916412	+	2376	48	34	24	28	34	40
PA1771	NC_002516.2	1916482	1917492	+	1011	0	0	0	0	0	0
PA1772	NC_002516.2	1917599	1918087	+	489	10	4	4	4	7	32
PA1773	NC_002516.2	1918275	1919273	+	999	12	8	4	10	20	26
PA1774	NC_002516.2	1919322	1919576	+	255	0	0	1	1	0	3
PA1775	NC_002516.2	1919579	1920403	+	825	215	122	181	167	162	271
PA1776	NC_002516.2	1920568	1921065	+	498	816	479	526	504	676	775
PA1777	NC_002516.2	1921174	1922226	+	1053	1282	720	631	734	711	935
PA1778	NC_002516.2	1922295	1923032	-	738	0	0	0	0	0	0
PA1779	NC_002516.2	1923044	1925770	-	2727	0	0	2	0	0	0
PA1780	NC_002516.2	1925797	1926123	-	327	0	0	0	0	0	0
PA1781	NC_002516.2	1926176	1928626	-	2451	2	0	0	0	2	4
PA1781.1	NC_002516.2	1928666	1928886	-	221	0	0	0	0	0	0
PA1782	NC_002516.2	1928894	1930489	-	1596	0	0	0	0	2	0
PA1783	NC_002516.2	1930564	1931775	-	1212	0	0	0	0	2	0
PA1784	NC_002516.2	1932129	1932824	-	696	0	0	0	0	4	0
PA1785	NC_002516.2	1933054	1933632	-	579	0	0	0	0	0	0
PA1786	NC_002516.2	1933649	1934857	-	1209	0	0	0	0	0	0
PA1787	NC_002516.2	1935035	1937644	-	2610	30	18	10	12	4	26
PA1788	NC_002516.2	1938026	1938493	+	468	0	0	0	0	0	2
PA1789	NC_002516.2	1938549	1939412	-	864	20	22	14	2	8	13
PA1790	NC_002516.2	1939583	1940206	+	624	0	2	0	2	6	0
PA1791	NC_002516.2	1940255	1941586	-	1332	21	14	12	4	2	4
PA1792	NC_002516.2	1941720	1942442	-	723	0	0	0	0	0	0
PA1793	NC_002516.2	1942447	1942944	-	498	10	10	6	2	4	4
PA1794	NC_002516.2	1943067	1944737	+	1671	24	18	11	11	22	38
PA1795	NC_002516.2	1944747	1946129	+	1383	22	8	20	6	42	51
PA1796	NC_002516.2	1946187	1947041	-	855	0	2	0	2	2	6
PA1796.1	NC_002516.2	1947320	1947396	+	77	6	3	4	2	5	13
PA1796.2	NC_002516.2	1947448	1947523	+	76	0	0	0	0	0	0
PA1796.3	NC_002516.2	1947578	1947662	+	85	0	0	0	0	0	0
PA1796.4	NC_002516.2	1947729	1947804	+	76	0	0	0	0	2	0
PA1797a	NC_002516.2	1947994	1948215	+	222	0	0	0	0	2	0
PA1797	NC_002516.2	1948502	1950334	-	1833	0	0	0	0	0	0
PA1798	NC_002516.2	1950439	1951725	-	1287	0	4	0	0	2	0
PA1799	NC_002516.2	1951726	1952433	-	708	0	0	2	6	2	0
PA1800	NC_002516.2	1952665	1953975	+	1311	34	22	10	10	12	26
PA1801	NC_002516.2	1954069	1954710	+	642	27	30	10	18	27	45
PA1802	NC_002516.2	1954815	1956095	+	1281	273	130	165	502	554	785
PA1803	NC_002516.2	1956227	1958623	+	2397	650	464	418	1148	1233	1983
PA1804	NC_002516.2	1958759	1959031	+	273	434	258	301	173	172	238
PA1804.1	NC_002516.2	1959083	1959159	+	77	7	2	2	3	13	2
PA1805	NC_002516.2	1959263	1961128	+	1866	43	18	20	24	49	38
PA1806	NC_002516.2	1961227	1962024	-	798	10	2	0	0	2	2
PA1807	NC_002516.2	1962046	1963656	-	1611	2	0	0	2	0	2
PA1808	NC_002516.2	1963658	1964677	-	1020	2	0	0	1	3	2
PA1809	NC_002516.2	1964682	1965764	-	1083	2	4	0	2	3	4
PA1810	NC_002516.2	1965771	1967618	-	1848	14	10	10	16	13	25
PA1811	NC_002516.2	1967615	1969444	-	1830	16	12	10	4	4	22
PA1812	NC_002516.2	1969635	1971239	-	1605	12	0	10	2	6	2
PA1813	NC_002516.2	1971317	1972093	-	777	4	2	0	0	0	2
PA1814	NC_002516.2	1972195	1972956	+	762	2	0	0	0	3	2
PA1815	NC_002516.2	1972959	1973405	+	447	2	4	2	6	2	3
PA1816	NC_002516.2	1973470	1974210	+	741	0	0	0	0	2	0
PA1817	NC_002516.2	1974238	1974627	-	390	46	18	28	22	36	38
PA1818	NC_002516.2	1974821	1977076	+	2256	12	2	14	4	0	18
PA1819	NC_002516.2	1977100	1978455	+	1356	4	0	4	2	4	10
PA1820	NC_002516.2	1978439	1979941	-	1503	0	0	0	0	0	2
PA1821	NC_002516.2	1980165	1980977	+	813	10	0	6	2	2	6
PA1822	NC_002516.2	1981017	1982705	+	1689	4	2	7	4	0	2
PA1823	NC_002516.2	1982705	1983541	+	837	6	2	0	4	4	1
PA1824	NC_002516.2	1983509	1984288	-	780	2	0	0	0	2	2
PA1825	NC_002516.2	1984389	1985033	+	645	0	0	0	0	0	0
PA1826	NC_002516.2	1985030	1985935	-	906	2	0	0	0	2	0
PA1827	NC_002516.2	1986067	1986828	+	762	0	0	0	0	0	0
PA1828	NC_002516.2	1986989	1987756	-	768	12	5	2	4	3	3
PA1829	NC_002516.2	1987781	1988851	-	1071	6	2	2	5	2	6
PA1830	NC_002516.2	1989109	1989423	-	315	8	16	5	0	0	7
PA1831	NC_002516.2	1989484	1990194	-	711	38	22	18	12	10	8
PA1832	NC_002516.2	1990428	1991453	+	1026	52	38	47	26	33	94
PA1833	NC_002516.2	1991512	1992504	+	993	16	8	0	2	4	0
PA1833a	NC_002516.2	1992491	1993366	-	876	2	0	0	0	0	0
PA1835	NC_002516.2	1993461	1993898	-	438	0	0	0	0	4	2
PA1836	NC_002516.2	1994021	1994602	+	582	1	0	0	0	0	1
PA1837	NC_002516.2	1994667	1995164	-	498	0	0	0	0	0	0
PA1838	NC_002516.2	1995148	1996806	-	1659	16	6	0	0	2	4
PA1837a	NC_002516.2	1997217	1997444	-	228	1	3	3	1	0	3
PA1839	NC_002516.2	1997509	1998549	-	1041	1	0	4	0	0	2
PA1840	NC_002516.2	1998587	1998949	+	363	0	0	2	0	0	0
PA1841	NC_002516.2	1998963	1999460	+	498	0	0	0	0	0	0
PA1842	NC_002516.2	1999512	1999874	-	363	0	0	0	0	2	0
PA1843	NC_002516.2	1999889	2003593	-	3705	19	7	7	5	8	17
PA1844	NC_002516.2	2003868	2004332	-	465	0	0	0	0	0	0
PA1845	NC_002516.2	2004374	2004892	-	519	1	0	0	0	0	2
PA1846	NC_002516.2	2005254	2007542	+	2289	6	0	2	2	6	11
PA1847	NC_002516.2	2007665	2008249	+	585	20	20	20	18	20	31
PA1848	NC_002516.2	2008308	2009477	-	1170	0	0	0	0	0	0
PA1849	NC_002516.2	2009482	2009724	-	243	0	0	0	0	0	0
PA1850	NC_002516.2	2009747	2010751	-	1005	0	0	2	0	0	0
PA1851	NC_002516.2	2011000	2012205	+	1206	0	0	0	0	0	2
PA1852	NC_002516.2	2012255	2012530	-	276	2	0	0	0	2	0
PA1853	NC_002516.2	2012815	2013678	+	864	2	2	0	0	0	4
PA1854	NC_002516.2	2013666	2014823	-	1158	0	0	0	0	0	0
PA1855	NC_002516.2	2014915	2015136	-	222	0	0	0	0	0	0
PA1856	NC_002516.2	2015139	2016581	-	1443	0	0	2	0	2	2
PA1857	NC_002516.2	2016928	2017851	-	924	4	4	2	3	0	4
PA1858	NC_002516.2	2017967	2018794	-	828	0	0	0	0	0	0
PA1859	NC_002516.2	2018803	2019690	-	888	0	0	0	0	0	0
